Date,business_investment,software_spending,interest_rate,corporate_earnings,unemployment_rate,consumer_sentiment,gdp_growth,m2_money_supply,industrial_production
2022-06-09,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-10,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-11,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-12,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-13,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-14,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-15,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-16,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-17,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-18,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-19,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-20,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-21,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-22,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-23,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-24,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-25,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-26,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-27,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-28,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-29,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-30,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-02,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-03,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-04,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-05,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-06,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-07,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-08,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-09,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-10,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-11,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-12,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-13,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-14,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-15,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-16,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-17,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-18,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-19,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-20,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-21,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-22,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-23,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-24,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-25,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-26,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-27,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-28,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-29,84180.0,13736.0,2.32,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-30,84180.0,13736.0,2.32,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-31,84180.0,13736.0,2.32,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-02,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-03,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-04,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-05,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-06,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-07,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-08,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-09,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-10,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-11,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-12,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-13,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-14,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-15,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-16,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-17,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-18,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-19,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-20,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
