Date,semiconductor_shipments,industrial_production,global_trade_volume,crude_oil_prices,interest_rate,gdp_growth,m2_money_supply,personal_computing_sales,consumer_sentiment
2022-06-20,103.1531,102.2805,11263.243289,109.56,1.58,2.8,21221.2,99.223,70.5
2022-06-21,103.1531,102.2805,11263.243289,110.49,1.58,2.8,21221.2,99.223,70.5
2022-06-22,103.1531,102.2805,11263.243289,106.22,1.58,2.8,21221.2,99.223,70.5
2022-06-23,103.1531,102.2805,11263.243289,105.75,1.58,2.8,21221.2,99.223,70.5
2022-06-24,103.1531,102.2805,11263.243289,109.07,1.58,2.8,21221.2,99.223,70.5
2022-06-27,103.1531,102.2805,11263.243289,111.44,1.58,2.8,21221.2,99.223,70.5
2022-06-28,103.1531,102.2805,11263.243289,113.66,1.58,2.8,21221.2,99.223,70.5
2022-06-29,103.1531,102.2805,11263.243289,111.65,1.58,2.8,21221.2,99.223,70.5
2022-06-30,103.1531,102.2805,11263.243289,107.76,1.58,2.8,21221.2,99.223,70.5
2022-07-04,103.1531,102.2805,11263.243289,107.76,1.58,2.8,21221.2,99.223,70.5
2022-07-05,103.1531,102.2805,11263.243289,101.55,1.58,2.8,21221.2,99.223,70.5
2022-07-06,103.1531,102.2805,11263.243289,100.31,1.58,2.8,21221.2,99.223,70.5
2022-07-07,103.1531,102.2805,11263.243289,104.62,1.58,2.8,21221.2,99.223,70.5
2022-07-08,103.1531,102.2805,11263.243289,106.78,1.58,2.8,21221.2,99.223,70.5
2022-07-11,103.1531,102.2805,11263.243289,106.09,1.58,2.8,21221.2,99.223,70.5
2022-07-12,103.1531,102.2805,11263.243289,97.69,1.58,2.8,21221.2,99.223,70.5
2022-07-13,103.1531,102.2805,11263.243289,98.44,1.58,2.8,21221.2,99.223,70.5
2022-07-14,103.1531,102.2805,11263.243289,97.79,1.58,2.8,21221.2,99.223,70.5
2022-07-15,103.1531,102.2805,11263.243289,99.59,1.58,2.8,21221.2,99.223,70.5
2022-07-18,103.1531,102.2805,11263.243289,104.48,1.58,2.8,21221.2,99.223,70.5
2022-07-19,103.1531,102.2805,11263.243289,106.12,1.58,2.8,21221.2,99.223,70.5
2022-07-20,103.1531,102.2805,11263.243289,104.45,1.58,2.8,21221.2,99.223,70.5
2022-07-21,103.1531,102.2805,11263.243289,98.44,1.58,2.8,21221.2,99.223,70.5
