level_0,index,Date,Adj_Closed_price,Log_Return,Next_day_Adj_Open_price,ma_10,ma_30,ema_10,volatility_10,rsi_14,interest_rate_mom,unemployment_rate_mom,gdp_growth_mom,business_investment_mom,software_spending_mom,corporate_earnings_mom,consumer_sentiment_mom,m2_money_supply_mom,industrial_production_mom,daily_sentiment_score
20,20,2022-03-29,220.31195068359375,0.027534513502004435,218.7389427844123,212.99444427490235,0.0,212.105414316338,0.026726990585127633,63.23934995157161,0.0,-0.20000000000000018,0.0,-6.4093186150640635,1.0473819910963522,0.0,-6.547619047619058,0.2545661941658395,0.6236254453408918,21.428571428571427
21,21,2022-03-30,213.99002075195312,-0.029115117718088657,213.5519647199446,213.92730102539062,0.0,212.4480700319044,0.026517262358492985,60.2979973931471,0.0,-0.20000000000000018,0.0,-6.4093186150640635,1.0473819910963522,0.0,-6.547619047619058,0.2545661941658395,0.6236254453408918,0.0
22,22,2022-03-31,211.38160705566406,-0.012264317696511325,211.54089938305336,214.1174560546875,0.0,212.25416767258795,0.026093519486434503,59.988920227549386,0.25,-0.19999999999999973,0.0,-3.6828705074308687,1.1080405781234814,0.0,-5.414012738853502,0.4708385366079204,0.8124046352426806,6.25
23,23,2022-04-01,211.31192016601562,-0.00032972773790909725,213.68140144652622,213.46535034179686,0.0,212.08284994412026,0.02239774265093558,64.17666911318568,0.25,-0.19999999999999973,0.0,-3.6828705074308687,1.1080405781234814,0.0,-5.414012738853502,0.4708385366079204,0.8124046352426806,0.0
24,24,2022-04-04,217.88275146484375,0.030621744285581235,217.03650440558144,213.97608489990233,0.0,213.1373774933427,0.023420991069827805,65.98170093113204,0.25,-0.19999999999999973,0.0,-3.6828705074308687,1.1080405781234814,0.0,-5.414012738853502,0.4708385366079204,0.8124046352426806,8.333333333333332
25,25,2022-04-05,209.21124267578125,-0.04061260875870572,204.30301520106195,213.1726516723633,0.0,212.4235347992406,0.02596632477584371,53.248959363246456,0.25,-0.19999999999999973,0.0,-3.6828705074308687,1.1080405781234814,0.0,-5.414012738853502,0.4708385366079204,0.8124046352426806,0.0
26,26,2022-04-06,199.9324188232422,-0.04536506846559158,198.23994806949065,212.14819946289063,0.0,210.1524228036045,0.027737554178719388,43.59041704277863,0.25,-0.19999999999999973,0.0,-3.6828705074308687,1.1080405781234814,0.0,-5.414012738853502,0.4708385366079204,0.8124046352426806,0.0
27,27,2022-04-07,199.27536010742188,-0.0032918161610336386,197.76205763020005,210.77230987548828,0.0,208.1747750406622,0.02699133180361195,36.10614418174681,0.25,-0.19999999999999973,0.0,-3.6828705074308687,1.1080405781234814,0.0,-5.414012738853502,0.4708385366079204,0.8124046352426806,0.0
28,28,2022-04-08,196.29855346679688,-0.015050855137267154,193.35164137168016,209.3924346923828,0.0,206.01546202723213,0.027028501457815445,37.26727512115124,0.25,-0.19999999999999973,0.0,-3.6828705074308687,1.1080405781234814,0.0,-5.414012738853502,0.4708385366079204,0.8124046352426806,20.0
29,29,2022-04-11,194.58615112304688,-0.00876173090646363,198.86715883004618,207.41819763183594,205.99617767333984,203.93740549919843,0.02534588848205808,31.710048309845135,0.25,-0.19999999999999973,0.0,-3.6828705074308687,1.1080405781234814,0.0,-5.414012738853502,0.4708385366079204,0.8124046352426806,12.5
