Date,semiconductor_shipments,industrial_production,global_trade_volume,crude_oil_prices,interest_rate,gdp_growth,m2_money_supply,personal_computing_sales,consumer_sentiment
2022-09-02,103.1393,103.5326,11870.389024,87.29,2.33,2.7,21507.7,97.862,58.6
2022-09-03,103.1393,103.5326,11870.389024,87.29,2.33,2.7,21507.7,97.862,58.6
2022-09-04,103.1393,103.5326,11870.389024,87.29,2.33,2.7,21507.7,97.862,58.6
2022-09-05,103.1393,103.5326,11870.389024,87.29,2.33,2.7,21507.7,97.862,58.6
2022-09-06,103.1393,103.5326,11870.389024,87.35,2.33,2.7,21507.7,97.862,58.6
2022-09-07,103.1393,103.5326,11870.389024,82.5,2.33,2.7,21507.7,97.862,58.6
2022-09-08,103.1393,103.5326,11870.389024,84.04,2.33,2.7,21507.7,97.862,58.6
2022-09-09,103.1393,103.5326,11870.389024,87.27,2.33,2.7,21507.7,97.862,58.6
2022-09-10,103.1393,103.5326,11870.389024,87.27,2.33,2.7,21507.7,97.862,58.6
2022-09-11,103.1393,103.5326,11870.389024,87.27,2.33,2.7,21507.7,97.862,58.6
2022-09-12,103.1393,103.5326,11870.389024,88.18,2.33,2.7,21507.7,97.862,58.6
2022-09-13,103.1393,103.5326,11870.389024,87.84,2.33,2.7,21507.7,97.862,58.6
2022-09-14,103.1393,103.5326,11870.389024,88.88,2.33,2.7,21507.7,97.862,58.6
2022-09-15,103.1393,103.5326,11870.389024,85.72,2.33,2.7,21507.7,97.862,58.6
2022-09-16,103.1393,103.5326,11870.389024,85.57,2.33,2.7,21507.7,97.862,58.6
2022-09-17,103.1393,103.5326,11870.389024,85.57,2.33,2.7,21507.7,97.862,58.6
2022-09-18,103.1393,103.5326,11870.389024,85.57,2.33,2.7,21507.7,97.862,58.6
2022-09-19,103.1393,103.5326,11870.389024,86.15,2.33,2.7,21507.7,97.862,58.6
2022-09-20,103.1393,103.5326,11870.389024,84.69,2.33,2.7,21507.7,97.862,58.6
2022-09-21,103.1393,103.5326,11870.389024,83.38,2.33,2.7,21507.7,97.862,58.6
2022-09-22,103.1393,103.5326,11870.389024,84.02,3.08,2.7,21507.7,97.862,58.6
2022-09-23,103.1393,103.5326,11870.389024,79.07,3.08,2.7,21507.7,97.862,58.6
2022-09-24,103.1393,103.5326,11870.389024,79.07,3.08,2.7,21507.7,97.862,58.6
2022-09-25,103.1393,103.5326,11870.389024,79.07,3.08,2.7,21507.7,97.862,58.6
2022-09-26,103.1393,103.5326,11870.389024,77.17,3.08,2.7,21507.7,97.862,58.6
2022-09-27,103.1393,103.5326,11870.389024,78.91,3.08,2.7,21507.7,97.862,58.6
2022-09-28,103.1393,103.5326,11870.389024,82.61,3.08,2.7,21507.7,97.862,58.6
2022-09-29,103.1393,103.5326,11870.389024,81.78,3.08,2.7,21507.7,97.862,58.6
2022-09-30,103.1393,103.5326,11870.389024,79.91,3.08,2.7,21507.7,97.862,58.6
2022-10-01,105.0235,103.4442,15700.29175,79.91,3.08,3.4,21433.4,97.379,59.9
2022-10-02,105.0235,103.4442,15700.29175,79.91,3.08,3.4,21433.4,97.379,59.9
2022-10-03,105.0235,103.4442,15700.29175,84.05,3.08,3.4,21433.4,97.379,59.9
2022-10-04,105.0235,103.4442,15700.29175,86.87,3.08,3.4,21433.4,97.379,59.9
2022-10-05,105.0235,103.4442,15700.29175,88.22,3.08,3.4,21433.4,97.379,59.9
2022-10-06,105.0235,103.4442,15700.29175,88.9,3.08,3.4,21433.4,97.379,59.9
2022-10-07,105.0235,103.4442,15700.29175,93.07,3.08,3.4,21433.4,97.379,59.9
2022-10-08,105.0235,103.4442,15700.29175,93.07,3.08,3.4,21433.4,97.379,59.9
2022-10-09,105.0235,103.4442,15700.29175,93.07,3.08,3.4,21433.4,97.379,59.9
2022-10-10,105.0235,103.4442,15700.29175,91.6,3.08,3.4,21433.4,97.379,59.9
2022-10-11,105.0235,103.4442,15700.29175,89.75,3.08,3.4,21433.4,97.379,59.9
2022-10-12,105.0235,103.4442,15700.29175,87.83,3.08,3.4,21433.4,97.379,59.9
