level_0,index,Date,Adj_Closed_price,Log_Return,Next_day_Adj_Open_price,ma_10,ma_30,ema_10,volatility_10,rsi_14,interest_rate_mom,unemployment_rate_mom,gdp_growth_mom,vix_mom,cpi_mom,industrial_production_mom,personal_consumption_mom,housing_starts_mom,retail_sales_mom,sp500_mom
28,28,2022-04-08,395.7564697265625,-0.002427006196909711,392.84263758511474,400.57924499511716,0.0,397.67566256112366,0.009662422494184515,52.844573083535664,0.25,-0.19999999999999973,0.0,-9.59,1.0606779482313256,0.8124046352426806,1.3731245732693242,-3.6739380022962065,2.097546278219653,3.577323877328009
29,29,2022-04-11,388.8997802734375,-0.017477370475025757,391.7175065529485,399.176171875,389.0437367757161,396.08004759972613,0.010462431399897377,41.93573306722149,0.25,-0.19999999999999973,0.0,-9.59,1.0606779482313256,0.8124046352426806,1.3731245732693242,-3.6739380022962065,2.097546278219653,3.577323877328009
30,30,2022-04-12,387.4765625,-0.003666313073313116,387.1399294459919,397.1210906982422,389.3292602539062,394.5157775815941,0.008813759880647329,45.08244320699582,0.25,-0.19999999999999973,0.0,-9.59,1.0606779482313256,0.8124046352426806,1.3731245732693242,-3.6739380022962065,2.097546278219653,3.577323877328009
31,31,2022-04-13,391.85211181640625,0.0112291397401418,392.09252868101794,395.7574462890625,389.5286916097005,394.0314747151963,0.01019982707414045,43.409165513920456,0.25,-0.19999999999999973,0.0,-9.59,1.0606779482313256,0.8124046352426806,1.3731245732693242,-3.6739380022962065,2.097546278219653,3.577323877328009
32,32,2022-04-14,387.0918273925781,-0.012222557865856508,386.1590334871905,394.5409271240234,389.6339823404948,392.7697206565384,0.009815709759015594,37.05748123379777,0.25,-0.19999999999999973,0.0,-9.59,1.0606779482313256,0.8124046352426806,1.3731245732693242,-3.6739380022962065,2.097546278219653,3.577323877328009
33,33,2022-04-18,387.1591796875,0.00017398051659182635,387.1495480186447,393.22055969238284,389.84503173828125,391.7496222985314,0.009677012112016043,33.51429083649833,0.25,-0.19999999999999973,0.0,-9.59,1.0606779482313256,0.8124046352426806,1.3731245732693242,-3.6739380022962065,2.097546278219653,3.577323877328009
34,34,2022-04-19,393.34271240234375,0.015845348113927554,395.07372745898135,392.1790740966797,390.63694966634114,392.0392750446791,0.010887060384607333,34.991151027659825,0.25,-0.19999999999999973,0.0,-9.59,1.0606779482313256,0.8124046352426806,1.3731245732693242,-3.6739380022962065,2.097546278219653,3.577323877328009
35,35,2022-04-20,393.0445861816406,-0.0007582173199453277,396.5739281663795,391.6068817138672,391.51189880371095,392.22205888776296,0.010328042078378893,36.67078978130058,0.25,-0.19999999999999973,0.0,-9.59,1.0606779482313256,0.8124046352426806,1.3731245732693242,-3.6739380022962065,2.097546278219653,3.577323877328009
36,36,2022-04-21,387.21685791015625,-0.01493816383229314,386.27443878778723,390.85582275390624,391.86671956380206,391.3120223463799,0.010870477763268766,36.99078580491653,0.25,-0.19999999999999973,0.0,-9.59,1.0606779482313256,0.8124046352426806,1.3731245732693242,-3.6739380022962065,2.097546278219653,3.577323877328009
37,37,2022-04-22,376.6481018066406,-0.027673557861163597,374.4939600635603,388.84881896972655,391.92515665690104,388.6458549755182,0.01321369725051528,28.726750498374713,0.25,-0.19999999999999973,0.0,-9.59,1.0606779482313256,0.8124046352426806,1.3731245732693242,-3.6739380022962065,2.097546278219653,3.577323877328009
38,38,2022-04-25,378.7060546875,0.005448988279563128,376.3980152983956,387.14377746582034,392.21161397298175,386.8386185595149,0.013625099988987227,26.975419519654622,0.25,-0.19999999999999973,0.0,-9.59,1.0606779482313256,0.8124046352426806,1.3731245732693242,-3.6739380022962065,2.097546278219653,3.577323877328009
