level_0,index,Date,Adj_Closed_price,Log_Return,Next_day_Adj_Open_price,ma_10,ma_30,ema_10,volatility_10,rsi_14,interest_rate_mom,unemployment_rate_mom,gdp_growth_mom,pharmaceutical_prices_mom,consumer_sentiment_mom,m2_money_supply_mom,daily_sentiment_score
49,49,2022-05-10,615.0900268554688,0.025222361267728585,610.3699951171875,645.8850036621094,687.4413330078125,642.4835901400012,0.020803410510871857,17.635762558057877,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,50,2022-05-11,613.0499877929688,-0.0033221634576746186,606.7899780273438,639.8390014648437,684.5953328450521,637.1320260769044,0.020753974125557444,18.984127681578826,0.0,0.0,0.0,0.0,0.0,0.0,
51,51,2022-05-12,633.9600219726562,0.03353941685716833,635.3800048828125,635.677001953125,682.6480000813802,636.5552980579502,0.02465848564822572,32.30216269598908,0.0,0.0,0.0,0.0,0.0,0.0,75.0
52,52,2022-05-13,645.52001953125,0.01807032817326803,640.1799926757812,634.3180053710937,680.88466796875,638.185247416732,0.024834232243360333,36.187660597768925,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,53,2022-05-16,655.010009765625,0.01459429380654028,661.8699951171875,634.6170043945312,679.5573343912761,641.2442951165307,0.02513958984509533,43.65836569276406,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,54,2022-05-17,667.5599975585938,0.018978752614587646,664.0999755859375,635.3240051269531,678.5290018717448,646.0289682878148,0.025543769979979387,48.22313430469022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,55,2022-05-18,659.2000122070312,-0.012602273104783823,660.3499755859375,635.1580078125,677.4533365885417,648.4237035458541,0.025909168909752023,45.28551472334613,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,56,2022-05-19,657.1500244140625,-0.0031146570337628244,661.2899780273438,636.9360107421875,675.746337890625,650.0103073400737,0.023294699000642804,49.38482051517834,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,57,2022-05-20,661.1400146484375,0.00605329980462584,671.6099853515625,640.7450134277344,673.7243387858073,652.0338904870489,0.02101584794002057,52.91933353652342,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,58,2022-05-23,681.9099731445312,0.03093200505916571,681.969970703125,648.9590087890625,671.826670328776,657.465905515682,0.015586185020740545,56.356080317223544,0.0,0.0,0.0,0.0,0.0,0.0,50.0
59,59,2022-05-24,686.02001953125,0.006009165346992047,689.0,656.0520080566406,670.6150044759114,662.6575626094217,0.015065037974655466,57.303772528508354,0.0,0.0,0.0,0.0,0.0,0.0,
60,60,2022-05-25,690.8800048828125,0.0070593441037383855,690.1199951171875,663.835009765625,669.7846720377604,667.7889157500381,0.01431399695095507,66.55099756267273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,61,2022-05-26,683.4400024414062,-0.010827281978373498,685.719970703125,668.7830078125,668.1696716308594,670.6345678757414,0.013743889246050153,70.5786215112661,0.0,0.0,0.0,0.0,0.0,0.0,0.0
