level_0,index,Date,Adj_Closed_price,Log_Return,Next_day_Adj_Open_price,ma_10,ma_30,ema_10,volatility_10,rsi_14,interest_rate_mom,gdp_growth_mom,unemployment_rate_mom,pharmaceutical_prices_mom,consumer_sentiment_mom,m2_money_supply_mom,daily_sentiment_score
65,65,2022-06-02,241.7606964111328,0.05512731636384781,229.35797119140625,237.0437744140625,255.64883422851562,237.40658998516108,0.037770431368261796,66.6773908675217,0.49999999999999994,0.0,-0.10000000000000009,7.8444992034222505,-10.429447852760742,-0.12244973116301017,0.0
66,66,2022-06-03,226.62451171875,-0.0646538646143699,231.51751708984375,236.2869644165039,252.31485188802083,235.44621211854087,0.043491922858179745,49.68173540470026,0.49999999999999994,0.0,-0.10000000000000009,7.8444992034222505,-10.429447852760742,-0.12244973116301017,25.0
67,67,2022-06-06,220.42800903320312,-0.02772336256243104,218.49221801757812,234.6439682006836,249.19974161783855,232.71562973938853,0.04378678042682266,46.38956256773804,0.49999999999999994,0.0,-0.10000000000000009,7.8444992034222505,-10.429447852760742,-0.12244973116301017,75.0
68,68,2022-06-07,226.72178649902344,0.028152503738387433,225.42800903320312,233.47665252685547,246.4101821899414,231.62584005932214,0.0450567824242937,44.70636743155254,0.49999999999999994,0.0,-0.10000000000000009,7.8444992034222505,-10.429447852760742,-0.12244973116301017,50.0
69,69,2022-06-08,227.1692657470703,0.0019717480254698395,224.34825134277344,232.82198333740234,244.20817159016926,230.81555382073088,0.0447875560670737,46.62074972905631,0.49999999999999994,0.0,-0.10000000000000009,7.8444992034222505,-10.429447852760742,-0.12244973116301017,
70,70,2022-06-09,218.3560333251953,-0.0395684927050014,208.998046875,231.07781982421875,241.8388463338216,228.5501864579062,0.045983727057582795,41.943783011079276,0.49999999999999994,0.0,-0.10000000000000009,7.8444992034222505,-10.429447852760742,-0.12244973116301017,0.0
71,71,2022-06-10,198.62840270996094,-0.09469115495324824,192.13035583496094,227.24708099365233,238.63294474283853,223.10986214009796,0.05318129812874518,33.42891169641321,0.49999999999999994,0.0,-0.10000000000000009,7.8444992034222505,-10.429447852760742,-0.12244973116301017,-25.0
72,72,2022-06-13,189.01751708984375,-0.04959606225793963,189.49415588378906,221.04571990966798,235.3145273844401,216.91125394914263,0.04670708700730321,29.996848699108625,0.49999999999999994,0.0,-0.10000000000000009,7.8444992034222505,-10.429447852760742,-0.12244973116301017,0.0
73,73,2022-06-14,184.2509765625,-0.02554086252095566,186.7996063232422,216.17509765625,231.70103861490887,210.97302169702579,0.04378220194192014,29.975584538612267,0.49999999999999994,0.0,-0.10000000000000009,7.8444992034222505,-10.429447852760742,-0.12244973116301017,
74,74,2022-06-15,188.3560333251953,0.022035134886375218,184.93190002441406,212.1313232421875,228.2292485555013,206.8608419930566,0.04610542134192356,31.10422273416407,0.49999999999999994,0.0,-0.10000000000000009,7.8444992034222505,-10.429447852760742,-0.12244973116301017,
