level_0,index,Date,Adj_Closed_price,Log_Return,Next_day_Adj_Open_price,ma_10,ma_30,ema_10,volatility_10,rsi_14,interest_rate_mom,gdp_growth_mom,unemployment_rate_mom,consumer_spending_mom,retail_sales_mom,import_prices_mom,consumer_sentiment_mom,crude_oil_prices_mom,global_trade_volume_mom,daily_sentiment_score
29,29,2022-04-11,120.90267181396484,-0.02504766124648083,121.11549259570522,128.00998764038087,125.57655487060546,125.93096330929613,0.019211416714122253,34.349605436378994,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.577135129512122,0.0,9.090909090909092
30,30,2022-04-12,120.9607162475586,0.00047997702482636593,120.96071895956904,126.64598693847657,125.35473607381185,125.02728202534385,0.013960629911588059,34.6212930855053,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.577135129512122,0.0,-7.142857142857142
31,31,2022-04-13,123.3307876586914,0.01940424237945913,124.86890611463095,125.57703475952148,125.10060424804688,124.71882850413431,0.016874224431455927,41.62712521799229,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.577135129512122,0.0,-9.090909090909092
32,32,2022-04-14,129.10601806640625,0.045763836155679985,127.69366362085962,125.47062301635742,125.093994140625,125.51649933363828,0.02233953916808937,49.62217813127789,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.577135129512122,0.0,-17.857142857142854
33,33,2022-04-18,127.33573913574219,-0.013806698811439045,128.7481168173068,125.28778915405273,125.10850499471029,125.84727020674808,0.022628238119333868,45.10467622947038,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.577135129512122,0.0,0.0
34,34,2022-04-19,132.5789337158203,0.04035098071284868,133.45922056665768,125.54995346069336,125.51512603759765,127.0712090265794,0.026203239370076202,46.88713430288723,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.577135129512122,0.0,-13.636363636363637
35,35,2022-04-20,131.43739318847656,-0.008647553387604095,134.0299756630051,125.89530563354492,125.98785018920898,127.86506069237888,0.025796471757136542,46.09073836117426,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.577135129512122,0.0,6.666666666666667
36,36,2022-04-21,131.04078674316406,-0.0030220168949100156,129.94765435624527,126.58214263916015,126.26226323445638,128.44246542888527,0.02325046286895159,51.47157509781013,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.577135129512122,0.0,-25.0
37,37,2022-04-22,124.85926055908203,-0.04832143647061199,123.63068882485432,126.55215530395508,126.3602912902832,127.79097363437558,0.028726379786934753,43.80740112152306,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.577135129512122,0.0,20.0
38,38,2022-04-25,123.76612091064453,-0.008793524506490524,122.80839395256734,126.53184280395507,126.53151728312174,127.05918223006083,0.028700032441916375,41.17002507681583,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.577135129512122,0.0,-24.999999999999996
39,39,2022-04-26,116.58816528320312,-0.05974589261312005,117.13958294782142,126.1003921508789,126.62664210001627,125.15536096699579,0.0337039997128206,35.848140603534034,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.577135129512122,0.0,-27.272727272727266
40,40,2022-04-27,117.2846908569336,0.005956464077000481,119.15171952393332,125.7327896118164,126.6859743754069,123.72433003789357,0.033822555388438307,40.72916859212523,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.577135129512122,0.0,8.823529411764707
41,41,2022-04-28,122.90514373779297,0.04680863431618994,122.10223677585397,125.69022521972656,126.74595133463542,123.5753870742389,0.03682429678659684,47.302615276710306,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.577135129512122,0.0,33.33333333333333
