level_0,index,Date,Adj_Closed_price,Log_Return,Next_day_Adj_Open_price,ma_10,ma_30,ema_10,volatility_10,rsi_14,interest_rate_mom,unemployment_rate_mom,delinquency_rate_mom,personal_savings_rate_mom,gdp_growth_mom,cpi_mom,revolving_credit_mom,consumer_sentiment_mom,housing_starts_mom,retail_sales_mom,daily_sentiment_score
40,40,2022-04-27,117.56578826904297,-0.06144254428135613,118.9082950266708,128.10085067749023,126.9278694152832,126.32097584700422,0.029952005209601076,42.652782264242525,0.25,-0.19999999999999973,0.0,-0.8999999999999999,0.0,1.0606779482313256,2.078633704249322,-5.414012738853502,-3.6739380022962065,2.097546278219653,-14.285714285714285
41,41,2022-04-28,122.32135009765625,0.03965352192283867,121.82027769029311,127.79452590942383,126.66125513712565,125.59377116530459,0.03325686540188351,50.09078592941598,0.25,-0.19999999999999973,0.0,-0.8999999999999999,0.0,1.0606779482313256,2.078633704249322,-5.414012738853502,-3.6739380022962065,2.097546278219653,0.0
42,42,2022-04-29,117.82105255126953,-0.03748462937640244,118.69085723981595,127.04101028442383,126.25376942952474,124.18054959911639,0.035017599535706566,41.26287566447079,0.25,-0.19999999999999973,0.0,-0.8999999999999999,0.0,1.0606779482313256,2.078633704249322,-5.414012738853502,-3.6739380022962065,2.097546278219653,0.0
43,43,2022-05-02,119.73084259033203,0.016079275517180892,120.55338307928488,125.96887817382813,125.88914413452149,123.37151196115559,0.03224154086747784,44.580875525502606,0.0,0.10000000000000009,0.17000000000000015,-0.5,1.3,0.42113975510602586,1.1486099321782461,9.764309764309775,8.939213349225273,1.3668249100000418,
44,44,2022-05-03,121.63117980957031,0.015747104447260442,121.6973380784984,124.74547576904297,125.70667343139648,123.05508793359462,0.03118681321916999,45.871787060043744,0.0,0.10000000000000009,0.17000000000000015,-0.5,1.3,0.42113975510602586,1.1486099321782461,9.764309764309775,8.939213349225273,1.3668249100000418,
45,45,2022-05-04,126.97290802001953,0.04298039145351511,124.79842323897267,124.03166122436524,125.58471018473307,123.76741885839914,0.03530326594357314,51.72764455350019,0.0,0.10000000000000009,0.17000000000000015,-0.5,1.3,0.42113975510602586,1.1486099321782461,9.764309764309775,8.939213349225273,1.3668249100000418,0.0
46,46,2022-05-05,123.21953582763672,-0.030006132467021107,122.76572255435654,123.11930847167969,125.46936645507813,123.66780376189688,0.03610181159892447,47.85010472427622,0.0,0.10000000000000009,0.17000000000000015,-0.5,1.3,0.42113975510602586,1.1486099321782461,9.764309764309775,8.939213349225273,1.3668249100000418,0.0
47,47,2022-05-06,120.10902404785156,-0.02556774451086095,117.97232464840579,122.34026489257812,125.21630198160807,123.02075290479772,0.035484935438778335,39.15973592440691,0.0,0.10000000000000009,0.17000000000000015,-0.5,1.3,0.42113975510602586,1.1486099321782461,9.764309764309775,8.939213349225273,1.3668249100000418,
48,48,2022-05-09,116.4974365234375,-0.030530595374182574,117.11197098684816,121.08849792480468,124.81732533772787,121.83469538091403,0.03581220947395737,31.872923462378736,0.0,0.10000000000000009,0.17000000000000015,-0.5,1.3,0.42113975510602586,1.1486099321782461,9.764309764309775,8.939213349225273,1.3668249100000418,
49,49,2022-05-10,114.42691040039062,-0.017932986617073925,114.64437006541242,120.0296028137207,124.43221511840821,120.48782538445522,0.03516784980305132,30.209093059697338,0.0,0.10000000000000009,0.17000000000000015,-0.5,1.3,0.42113975510602586,1.1486099321782461,9.764309764309775,8.939213349225273,1.3668249100000418,0.0
50,50,2022-05-11,113.06547546386719,-0.011969202263900094,109.67133905530117,119.57957153320312,123.92482681274414,119.13830721707556,0.030055567843331594,30.45809423665243,0.0,0.10000000000000009,0.17000000000000015,-0.5,1.3,0.42113975510602586,1.1486099321782461,9.764309764309775,8.939213349225273,1.3668249100000418,
51,51,2022-05-12,107.92227172851562,-0.04655581799810131,109.93718699484147,118.13966369628906,123.2844467163086,117.09902803733738,0.028497377038940206,30.032123082254117,0.0,0.10000000000000009,0.17000000000000015,-0.5,1.3,0.42113975510602586,1.1486099321782461,9.764309764309775,8.939213349225273,1.3668249100000418,0.0
52,52,2022-05-13,110.68803405761719,0.025304478651028826,110.08926501740548,117.42636184692383,122.8364766438802,115.93339276829732,0.02929281725907013,32.26644559083647,0.0,0.10000000000000009,0.17000000000000015,-0.5,1.3,0.42113975510602586,1.1486099321782461,9.764309764309775,8.939213349225273,1.3668249100000418,0.0
53,53,2022-05-16,108.32144927978516,-0.021612551756522012,111.97113068868394,116.28542251586914,122.32222595214844,114.54940304311329,0.02851575394250476,33.31918979640625,0.0,0.10000000000000009,0.17000000000000015,-0.5,1.3,0.42113975510602586,1.1486099321782461,9.764309764309775,8.939213349225273,1.3668249100000418,
54,54,2022-05-17,114.44227600097656,0.054967367455244276,112.26578031981903,115.56653213500977,121.98742218017578,114.52992539908843,0.03451807689377037,46.79386729278682,0.0,0.10000000000000009,0.17000000000000015,-0.5,1.3,0.42113975510602586,1.1486099321782461,9.764309764309775,8.939213349225273,1.3668249100000418,
55,55,2022-05-18,108.72064208984375,-0.05128888041458371,106.88628142080692,113.74130554199219,121.50128987630208,113.47369207013485,0.03243697283366085,36.31102467049035,0.0,0.10000000000000009,0.17000000000000015,-0.5,1.3,0.42113975510602586,1.1486099321782461,9.764309764309775,8.939213349225273,1.3668249100000418,
56,56,2022-05-19,107.71316528320312,-0.009309858710622875,109.39544197593906,112.19066848754883,121.01750132242839,112.42632356341998,0.03206809813503737,39.05712219859781,0.0,0.10000000000000009,0.17000000000000015,-0.5,1.3,0.42113975510602586,1.1486099321782461,9.764309764309775,8.939213349225273,1.3668249100000418,-50.0
57,57,2022-05-20,108.06482696533203,0.003259479706973153,110.79259066061417,110.98624877929687,120.54448979695638,111.63332418194943,0.03215329271677534,36.92931671870705,0.0,0.10000000000000009,0.17000000000000015,-0.5,1.3,0.42113975510602586,1.1486099321782461,9.764309764309775,8.939213349225273,1.3668249100000418,
58,58,2022-05-23,112.91207122802734,0.043878088360625796,111.38186937486164,110.62771224975586,120.15584182739258,111.86582364487268,0.03545974878781203,40.83618137967057,0.0,0.10000000000000009,0.17000000000000015,-0.5,1.3,0.42113975510602586,1.1486099321782461,9.764309764309775,8.939213349225273,1.3668249100000418,0.0
59,59,2022-05-24,111.03971099853516,-0.016721491009855458,110.59299598621855,110.28899230957032,119.721484375,111.71562134553858,0.03540556732682034,31.936865747858775,0.0,0.10000000000000009,0.17000000000000015,-0.5,1.3,0.42113975510602586,1.1486099321782461,9.764309764309775,8.939213349225273,1.3668249100000418,
60,60,2022-05-25,114.26168823242188,0.028603434469099704,115.91545559955694,110.40861358642579,119.36301193237304,112.17854259769918,0.03656971579665921,39.7208244260855,0.0,0.10000000000000009,0.17000000000000015,-0.5,1.3,0.42113975510602586,1.1486099321782461,9.764309764309775,8.939213349225273,1.3668249100000418,
61,61,2022-05-26,118.24403381347656,0.03425924354523223,118.32006394586907,111.44078979492187,119.12499313354492,113.28135918238597,0.03369658344120517,47.90189455021984,0.0,0.10000000000000009,0.17000000000000015,-0.5,1.3,0.42113975510602586,1.1486099321782461,9.764309764309775,8.939213349225273,1.3668249100000418,
62,62,2022-05-27,120.19242858886719,0.016343457917347873,118.7667682704328,112.39122924804687,118.95286712646484,114.53791725629164,0.03333599705823746,54.31845288623274,0.0,0.10000000000000009,0.17000000000000015,-0.5,1.3,0.42113975510602586,1.1486099321782461,9.764309764309775,8.939213349225273,1.3668249100000418,
63,63,2022-05-31,121.52304077148438,0.011009850773380105,121.42799955666327,113.7113883972168,118.65522969563803,115.80793971359941,0.03164352673906519,58.43943143828489,0.49999999999999994,-0.10000000000000009,0.0,0.09999999999999964,0.0,0.8986577274175289,0.8319381560044858,-10.429447852760742,-15.754923413566734,-0.32751821402312586,0.0
64,64,2022-06-01,118.76676940917969,-0.02294223175926738,119.49860030872739,114.1438377380371,118.15194854736328,116.34590874915946,0.029253092096015818,56.56281341719814,0.49999999999999994,-0.10000000000000009,0.0,0.09999999999999964,0.0,0.8986577274175289,0.8319381560044858,-10.429447852760742,-15.754923413566734,-0.32751821402312586,0.0
65,65,2022-06-02,120.10688018798828,0.011220365583691355,118.69072130313434,115.28246154785157,117.685142771403,117.02972173803742,0.021966110490959846,65.37169494713089,0.49999999999999994,-0.10000000000000009,0.0,0.09999999999999964,0.0,0.8986577274175289,0.8319381560044858,-10.429447852760742,-15.754923413566734,-0.32751821402312586,
66,66,2022-06-03,117.90186309814453,-0.018529404828067354,119.05191320278661,116.3013313293457,117.20376942952474,117.18829289442053,0.023032367190147802,59.23133383958372,0.49999999999999994,-0.10000000000000009,0.0,0.09999999999999964,0.0,0.8986577274175289,0.8319381560044858,-10.429447852760742,-15.754923413566734,-0.32751821402312586,
67,67,2022-06-06,119.45109558105469,0.01305443583203679,118.31055117066333,117.43995819091796,116.92215728759766,117.59971156471764,0.02296749934604377,64.54659295306652,0.49999999999999994,-0.10000000000000009,0.0,0.09999999999999964,0.0,0.8986577274175289,0.8319381560044858,-10.429447852760742,-15.754923413566734,-0.32751821402312586,
68,68,2022-06-07,121.87468719482422,0.020086317098484487,120.32548907831327,118.33621978759766,116.6841433207194,118.37697986110064,0.020126805219262252,60.7535538086669,0.49999999999999994,-0.10000000000000009,0.0,0.09999999999999964,0.0,0.8986577274175289,0.8319381560044858,-10.429447852760742,-15.754923413566734,-0.32751821402312586,
