Date,vehicle_sales,industrial_production,consumer_spending,retail_sales_vehicles,crude_oil_prices,interest_rate,gdp_growth,unemployment_rate,consumer_sentiment
2023-01-27,16.244,102.2805,19935.205,128281.0,79.73,4.33,2.8,4.1,70.5
2023-01-30,16.244,102.2805,19935.205,128281.0,77.97,4.33,2.8,4.1,70.5
2023-01-31,16.244,102.2805,19935.205,128281.0,78.95,4.33,2.8,4.1,70.5
2023-02-02,16.244,102.2805,19935.205,128281.0,75.87,4.58,2.8,4.1,70.5
2023-02-03,16.244,102.2805,19935.205,128281.0,73.4,4.58,2.8,4.1,70.5
2023-02-06,16.244,102.2805,19935.205,128281.0,74.11,4.58,2.8,4.1,70.5
2023-02-07,16.244,102.2805,19935.205,128281.0,77.17,4.58,2.8,4.1,70.5
2023-02-08,16.244,102.2805,19935.205,128281.0,78.47,4.58,2.8,4.1,70.5
2023-02-09,16.244,102.2805,19935.205,128281.0,78.04,4.57,2.8,4.1,70.5
2023-02-10,16.244,102.2805,19935.205,128281.0,79.74,4.58,2.8,4.1,70.5
2023-02-13,16.244,102.2805,19935.205,128281.0,80.14,4.58,2.8,4.1,70.5
2023-02-14,16.244,102.2805,19935.205,128281.0,79.08,4.58,2.8,4.1,70.5
2023-02-15,16.244,102.2805,19935.205,128281.0,78.57,4.58,2.8,4.1,70.5
2023-02-16,16.244,102.2805,19935.205,128281.0,78.45,4.58,2.8,4.1,70.5
2023-02-17,16.244,102.2805,19935.205,128281.0,76.31,4.58,2.8,4.1,70.5
2023-02-20,16.244,102.2805,19935.205,128281.0,76.31,4.58,2.8,4.1,70.5
2023-02-21,16.244,102.2805,19935.205,128281.0,76.28,4.58,2.8,4.1,70.5
2023-02-22,16.244,102.2805,19935.205,128281.0,73.95,4.58,2.8,4.1,70.5
2023-02-23,16.244,102.2805,19935.205,128281.0,75.26,4.58,2.8,4.1,70.5
2023-02-24,16.244,102.2805,19935.205,128281.0,76.19,4.58,2.8,4.1,70.5
2023-02-27,16.244,102.2805,19935.205,128281.0,75.57,4.57,2.8,4.1,70.5
2023-02-28,16.244,102.2805,19935.205,128281.0,76.88,4.57,2.8,4.1,70.5
2023-03-02,16.244,102.2805,19935.205,128281.0,78.05,4.57,2.8,4.1,70.5
2023-03-03,16.244,102.2805,19935.205,128281.0,79.62,4.57,2.8,4.1,70.5
