Date,pharmaceutical_prices,unemployment_rate,interest_rate,gdp_growth,consumer_sentiment,m2_money_supply
2022-05-30,281.741,4.1,0.83,2.8,70.5,21221.2
2022-05-31,281.741,4.1,0.83,2.8,70.5,21221.2
2022-06-02,281.741,4.1,0.83,2.8,70.5,21221.2
2022-06-03,281.741,4.1,0.83,2.8,70.5,21221.2
2022-06-04,281.741,4.1,0.83,2.8,70.5,21221.2
2022-06-05,281.741,4.1,0.83,2.8,70.5,21221.2
2022-06-06,281.741,4.1,0.83,2.8,70.5,21221.2
2022-06-07,281.741,4.1,0.83,2.8,70.5,21221.2
2022-06-08,281.741,4.1,0.83,2.8,70.5,21221.2
2022-06-09,281.741,4.1,0.83,2.8,70.5,21221.2
2022-06-10,281.741,4.1,0.83,2.8,70.5,21221.2
2022-06-11,281.741,4.1,0.83,2.8,70.5,21221.2
2022-06-12,281.741,4.1,0.83,2.8,70.5,21221.2
2022-06-13,281.741,4.1,0.83,2.8,70.5,21221.2
2022-06-14,281.741,4.1,0.83,2.8,70.5,21221.2
2022-06-15,281.741,4.1,0.83,2.8,70.5,21221.2
2022-06-16,281.741,4.1,1.58,2.8,70.5,21221.2
2022-06-17,281.741,4.1,1.58,2.8,70.5,21221.2
2022-06-18,281.741,4.1,1.58,2.8,70.5,21221.2
2022-06-19,281.741,4.1,1.58,2.8,70.5,21221.2
2022-06-20,281.741,4.1,1.58,2.8,70.5,21221.2
2022-06-21,281.741,4.1,1.58,2.8,70.5,21221.2
2022-06-22,281.741,4.1,1.58,2.8,70.5,21221.2
2022-06-23,281.741,4.1,1.58,2.8,70.5,21221.2
2022-06-24,281.741,4.1,1.58,2.8,70.5,21221.2
2022-06-25,281.741,4.1,1.58,2.8,70.5,21221.2
2022-06-26,281.741,4.1,1.58,2.8,70.5,21221.2
2022-06-27,281.741,4.1,1.58,2.8,70.5,21221.2
2022-06-28,281.741,4.1,1.58,2.8,70.5,21221.2
2022-06-29,281.741,4.1,1.58,2.8,70.5,21221.2
2022-06-30,281.741,4.1,1.58,2.8,70.5,21221.2
2022-07-02,281.741,4.1,1.58,2.8,70.5,21221.2
2022-07-03,281.741,4.1,1.58,2.8,70.5,21221.2
2022-07-04,281.741,4.1,1.58,2.8,70.5,21221.2
2022-07-05,281.741,4.1,1.58,2.8,70.5,21221.2
2022-07-06,281.741,4.1,1.58,2.8,70.5,21221.2
2022-07-07,281.741,4.1,1.58,2.8,70.5,21221.2
2022-07-08,281.741,4.1,1.58,2.8,70.5,21221.2
2022-07-09,281.741,4.1,1.58,2.8,70.5,21221.2
2022-07-10,281.741,4.1,1.58,2.8,70.5,21221.2
2022-07-11,281.741,4.1,1.58,2.8,70.5,21221.2
2022-07-12,281.741,4.1,1.58,2.8,70.5,21221.2
2022-07-13,281.741,4.1,1.58,2.8,70.5,21221.2
2022-07-14,281.741,4.1,1.58,2.8,70.5,21221.2
2022-07-15,281.741,4.1,1.58,2.8,70.5,21221.2
2022-07-16,281.741,4.1,1.58,2.8,70.5,21221.2
2022-07-17,281.741,4.1,1.58,2.8,70.5,21221.2
2022-07-18,281.741,4.1,1.58,2.8,70.5,21221.2
2022-07-19,281.741,4.1,1.58,2.8,70.5,21221.2
2022-07-20,281.741,4.1,1.58,2.8,70.5,21221.2
2022-07-21,281.741,4.1,1.58,2.8,70.5,21221.2
2022-07-22,281.741,4.1,1.58,2.8,70.5,21221.2
2022-07-23,281.741,4.1,1.58,2.8,70.5,21221.2
2022-07-24,281.741,4.1,1.58,2.8,70.5,21221.2
2022-07-25,281.741,4.1,1.58,2.8,70.5,21221.2
2022-07-26,281.741,4.1,1.58,2.8,70.5,21221.2
2022-07-27,281.741,4.1,1.58,2.8,70.5,21221.2
2022-07-28,281.741,4.1,2.33,2.8,70.5,21221.2
2022-07-29,281.741,4.1,2.32,2.8,70.5,21221.2
2022-07-30,281.741,4.1,2.32,2.8,70.5,21221.2
2022-07-31,281.741,4.1,2.32,2.8,70.5,21221.2
2022-08-02,281.741,4.1,2.33,2.8,70.5,21221.2
2022-08-03,281.741,4.1,2.33,2.8,70.5,21221.2
2022-08-04,281.741,4.1,2.33,2.8,70.5,21221.2
2022-08-05,281.741,4.1,2.33,2.8,70.5,21221.2
2022-08-06,281.741,4.1,2.33,2.8,70.5,21221.2
2022-08-07,281.741,4.1,2.33,2.8,70.5,21221.2
2022-08-08,281.741,4.1,2.33,2.8,70.5,21221.2
2022-08-09,281.741,4.1,2.33,2.8,70.5,21221.2
2022-08-10,281.741,4.1,2.33,2.8,70.5,21221.2
2022-08-11,281.741,4.1,2.33,2.8,70.5,21221.2
2022-08-12,281.741,4.1,2.33,2.8,70.5,21221.2
2022-08-13,281.741,4.1,2.33,2.8,70.5,21221.2
2022-08-14,281.741,4.1,2.33,2.8,70.5,21221.2
2022-08-15,281.741,4.1,2.33,2.8,70.5,21221.2
2022-08-16,281.741,4.1,2.33,2.8,70.5,21221.2
2022-08-17,281.741,4.1,2.33,2.8,70.5,21221.2
2022-08-18,281.741,4.1,2.33,2.8,70.5,21221.2
2022-08-19,281.741,4.1,2.33,2.8,70.5,21221.2
2022-08-20,281.741,4.1,2.33,2.8,70.5,21221.2
2022-08-21,281.741,4.1,2.33,2.8,70.5,21221.2
2022-08-22,281.741,4.1,2.33,2.8,70.5,21221.2
2022-08-23,281.741,4.1,2.33,2.8,70.5,21221.2
2022-08-24,281.741,4.1,2.33,2.8,70.5,21221.2
2022-08-25,281.741,4.1,2.33,2.8,70.5,21221.2
2022-08-26,281.741,4.1,2.33,2.8,70.5,21221.2
2022-08-27,281.741,4.1,2.33,2.8,70.5,21221.2
2022-08-28,281.741,4.1,2.33,2.8,70.5,21221.2
2022-08-29,281.741,4.1,2.33,2.8,70.5,21221.2
2022-08-30,281.741,4.1,2.33,2.8,70.5,21221.2
2022-08-31,281.741,4.1,2.33,2.8,70.5,21221.2
2022-09-02,281.741,4.1,2.33,2.8,70.5,21221.2
2022-09-03,281.741,4.1,2.33,2.8,70.5,21221.2
2022-09-04,281.741,4.1,2.33,2.8,70.5,21221.2
2022-09-05,281.741,4.1,2.33,2.8,70.5,21221.2
2022-09-06,281.741,4.1,2.33,2.8,70.5,21221.2
2022-09-07,281.741,4.1,2.33,2.8,70.5,21221.2
2022-09-08,281.741,4.1,2.33,2.8,70.5,21221.2
2022-09-09,281.741,4.1,2.33,2.8,70.5,21221.2
2022-09-10,281.741,4.1,2.33,2.8,70.5,21221.2
2022-09-11,281.741,4.1,2.33,2.8,70.5,21221.2
2022-09-12,281.741,4.1,2.33,2.8,70.5,21221.2
2022-09-13,281.741,4.1,2.33,2.8,70.5,21221.2
2022-09-14,281.741,4.1,2.33,2.8,70.5,21221.2
2022-09-15,281.741,4.1,2.33,2.8,70.5,21221.2
2022-09-16,281.741,4.1,2.33,2.8,70.5,21221.2
2022-09-17,281.741,4.1,2.33,2.8,70.5,21221.2
2022-09-18,281.741,4.1,2.33,2.8,70.5,21221.2
2022-09-19,281.741,4.1,2.33,2.8,70.5,21221.2
2022-09-20,281.741,4.1,2.33,2.8,70.5,21221.2
2022-09-21,281.741,4.1,2.33,2.8,70.5,21221.2
2022-09-22,281.741,4.1,3.08,2.8,70.5,21221.2
