Date,interest_rate,unemployment_rate,cpi,gdp_growth,industrial_production,vehicle_sales,personal_consumption,retail_sales_auto,crude_oil_prices,sp500
2022-08-26,2.33,3.6,295.209,2.7,103.1703,14.064,17897.5,135145.0,93.63,4057.66
2022-08-27,2.33,3.6,295.209,2.7,103.1703,14.064,17897.5,135145.0,93.63,4057.66
2022-08-28,2.33,3.6,295.209,2.7,103.1703,14.064,17897.5,135145.0,93.63,4057.66
2022-08-29,2.33,3.6,295.209,2.7,103.1703,14.064,17897.5,135145.0,97.4,4030.61
2022-08-30,2.33,3.6,295.209,2.7,103.1703,14.064,17897.5,135145.0,92.08,3986.16
2022-08-31,2.33,3.6,295.209,2.7,103.1703,14.064,17897.5,135145.0,90.09,3955.0
2022-09-01,2.33,3.5,296.341,2.7,103.5326,14.136,17987.2,124441.0,87.09,3966.85
2022-09-02,2.33,3.5,296.341,2.7,103.5326,14.136,17987.2,124441.0,87.29,3924.26
2022-09-03,2.33,3.5,296.341,2.7,103.5326,14.136,17987.2,124441.0,87.29,3924.26
2022-09-04,2.33,3.5,296.341,2.7,103.5326,14.136,17987.2,124441.0,87.29,3924.26
2022-09-05,2.33,3.5,296.341,2.7,103.5326,14.136,17987.2,124441.0,87.29,3924.26
2022-09-06,2.33,3.5,296.341,2.7,103.5326,14.136,17987.2,124441.0,87.35,3908.19
2022-09-07,2.33,3.5,296.341,2.7,103.5326,14.136,17987.2,124441.0,82.5,3979.87
2022-09-08,2.33,3.5,296.341,2.7,103.5326,14.136,17987.2,124441.0,84.04,4006.18
2022-09-09,2.33,3.5,296.341,2.7,103.5326,14.136,17987.2,124441.0,87.27,4067.36
2022-09-10,2.33,3.5,296.341,2.7,103.5326,14.136,17987.2,124441.0,87.27,4067.36
2022-09-11,2.33,3.5,296.341,2.7,103.5326,14.136,17987.2,124441.0,87.27,4067.36
2022-09-12,2.33,3.5,296.341,2.7,103.5326,14.136,17987.2,124441.0,88.18,4110.41
2022-09-13,2.33,3.5,296.341,2.7,103.5326,14.136,17987.2,124441.0,87.84,3932.69
