Date,business_investment,software_spending,corporate_earnings,interest_rate,gdp_growth,industrial_production,m2_money_supply,consumer_sentiment
2022-05-22,81384.0,11627.6,2728.056,0.83,0.3,102.9659,21696.6,58.4
2022-05-23,81384.0,11627.6,2728.056,0.83,0.3,102.9659,21696.6,58.4
2022-05-24,81384.0,11627.6,2728.056,0.83,0.3,102.9659,21696.6,58.4
2022-05-25,81384.0,11627.6,2728.056,0.83,0.3,102.9659,21696.6,58.4
2022-05-26,81384.0,11627.6,2728.056,0.83,0.3,102.9659,21696.6,58.4
2022-05-27,81384.0,11627.6,2728.056,0.83,0.3,102.9659,21696.6,58.4
2022-05-28,81384.0,11627.6,2728.056,0.83,0.3,102.9659,21696.6,58.4
2022-05-29,81384.0,11627.6,2728.056,0.83,0.3,102.9659,21696.6,58.4
2022-05-30,81384.0,11627.6,2728.056,0.83,0.3,102.9659,21696.6,58.4
2022-05-31,81384.0,11627.6,2728.056,0.83,0.3,102.9659,21696.6,58.4
2022-06-01,77728.0,11724.9,2728.056,0.83,0.3,102.8224,21652.4,50.0
2022-06-02,77728.0,11724.9,2728.056,0.83,0.3,102.8224,21652.4,50.0
2022-06-03,77728.0,11724.9,2728.056,0.83,0.3,102.8224,21652.4,50.0
2022-06-04,77728.0,11724.9,2728.056,0.83,0.3,102.8224,21652.4,50.0
2022-06-05,77728.0,11724.9,2728.056,0.83,0.3,102.8224,21652.4,50.0
2022-06-06,77728.0,11724.9,2728.056,0.83,0.3,102.8224,21652.4,50.0
2022-06-07,77728.0,11724.9,2728.056,0.83,0.3,102.8224,21652.4,50.0
2022-06-08,77728.0,11724.9,2728.056,0.83,0.3,102.8224,21652.4,50.0
2022-06-09,77728.0,11724.9,2728.056,0.83,0.3,102.8224,21652.4,50.0
2022-06-10,77728.0,11724.9,2728.056,0.83,0.3,102.8224,21652.4,50.0
2022-06-11,77728.0,11724.9,2728.056,0.83,0.3,102.8224,21652.4,50.0
2022-06-12,77728.0,11724.9,2728.056,0.83,0.3,102.8224,21652.4,50.0
2022-06-13,77728.0,11724.9,2728.056,0.83,0.3,102.8224,21652.4,50.0
2022-06-14,77728.0,11724.9,2728.056,0.83,0.3,102.8224,21652.4,50.0
2022-06-15,77728.0,11724.9,2728.056,0.83,0.3,102.8224,21652.4,50.0
2022-06-16,77728.0,11724.9,2728.056,1.58,0.3,102.8224,21652.4,50.0
2022-06-17,77728.0,11724.9,2728.056,1.58,0.3,102.8224,21652.4,50.0
2022-06-18,77728.0,11724.9,2728.056,1.58,0.3,102.8224,21652.4,50.0
2022-06-19,77728.0,11724.9,2728.056,1.58,0.3,102.8224,21652.4,50.0
2022-06-20,77728.0,11724.9,2728.056,1.58,0.3,102.8224,21652.4,50.0
2022-06-21,77728.0,11724.9,2728.056,1.58,0.3,102.8224,21652.4,50.0
2022-06-22,77728.0,11724.9,2728.056,1.58,0.3,102.8224,21652.4,50.0
2022-06-23,77728.0,11724.9,2728.056,1.58,0.3,102.8224,21652.4,50.0
2022-06-24,77728.0,11724.9,2728.056,1.58,0.3,102.8224,21652.4,50.0
2022-06-25,77728.0,11724.9,2728.056,1.58,0.3,102.8224,21652.4,50.0
2022-06-26,77728.0,11724.9,2728.056,1.58,0.3,102.8224,21652.4,50.0
2022-06-27,77728.0,11724.9,2728.056,1.58,0.3,102.8224,21652.4,50.0
2022-06-28,77728.0,11724.9,2728.056,1.58,0.3,102.8224,21652.4,50.0
2022-06-29,77728.0,11724.9,2728.056,1.58,0.3,102.8224,21652.4,50.0
2022-06-30,77728.0,11724.9,2728.056,1.58,0.3,102.8224,21652.4,50.0
2022-07-01,85320.0,11779.8,2845.696,1.58,2.7,103.0505,21644.5,51.5
2022-07-02,85320.0,11779.8,2845.696,1.58,2.7,103.0505,21644.5,51.5
2022-07-03,85320.0,11779.8,2845.696,1.58,2.7,103.0505,21644.5,51.5
2022-07-04,85320.0,11779.8,2845.696,1.58,2.7,103.0505,21644.5,51.5
2022-07-05,85320.0,11779.8,2845.696,1.58,2.7,103.0505,21644.5,51.5
2022-07-06,85320.0,11779.8,2845.696,1.58,2.7,103.0505,21644.5,51.5
2022-07-07,85320.0,11779.8,2845.696,1.58,2.7,103.0505,21644.5,51.5
2022-07-08,85320.0,11779.8,2845.696,1.58,2.7,103.0505,21644.5,51.5
2022-07-09,85320.0,11779.8,2845.696,1.58,2.7,103.0505,21644.5,51.5
2022-07-10,85320.0,11779.8,2845.696,1.58,2.7,103.0505,21644.5,51.5
2022-07-11,85320.0,11779.8,2845.696,1.58,2.7,103.0505,21644.5,51.5
2022-07-12,85320.0,11779.8,2845.696,1.58,2.7,103.0505,21644.5,51.5
2022-07-13,85320.0,11779.8,2845.696,1.58,2.7,103.0505,21644.5,51.5
2022-07-14,85320.0,11779.8,2845.696,1.58,2.7,103.0505,21644.5,51.5
2022-07-15,85320.0,11779.8,2845.696,1.58,2.7,103.0505,21644.5,51.5
2022-07-16,85320.0,11779.8,2845.696,1.58,2.7,103.0505,21644.5,51.5
2022-07-17,85320.0,11779.8,2845.696,1.58,2.7,103.0505,21644.5,51.5
2022-07-18,85320.0,11779.8,2845.696,1.58,2.7,103.0505,21644.5,51.5
2022-07-19,85320.0,11779.8,2845.696,1.58,2.7,103.0505,21644.5,51.5
