level_0,index,Date,Adj_Closed_price,Log_Return,Next_day_Adj_Open_price,ma_10,ma_30,ema_10,volatility_10,rsi_14,interest_rate_mom,gdp_growth_mom,business_investment_mom,software_spending_mom,corporate_earnings_mom,industrial_production_mom,m2_money_supply_mom,consumer_sentiment_mom,daily_sentiment_score
41,41,2022-04-28,73.38735961914062,0.018290753014861116,72.61628916046143,74.75602798461914,77.32080764770508,74.4406218072661,0.020529921943239583,32.21351468464884,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
42,42,2022-04-29,70.74642944335938,-0.03664964049878138,71.2572608744636,74.17290115356445,77.09957529703776,73.76895046837396,0.022875385465295352,28.233373032884202,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,43,2022-05-02,71.3247299194336,0.008141042455704073,71.18015614410044,73.76615829467774,76.86305618286133,73.32454673220298,0.023219067629579676,32.79576400539429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,44,2022-05-03,70.6404037475586,-0.009640838628831874,70.7271390625559,73.16182708740234,76.6267682393392,72.8365207349949,0.021833454469118798,32.25625523207144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,45,2022-05-04,72.49098205566406,0.025859896839966496,71.32473573266603,72.6721908569336,76.42528406778972,72.77369552057111,0.02385657640797773,37.742937544022816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,46,2022-05-05,70.16812133789062,-0.03256807278917535,69.52233794030374,72.02834091186523,76.19149551391601,72.29995476008375,0.025246782162204086,33.88270377123352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335
47,47,2022-05-06,69.86932373046875,-0.0042674023468400905,69.05004234812021,71.6697898864746,75.88854090372722,71.85802184560829,0.022385495631273268,35.46424559713964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
48,48,2022-05-09,68.95365905761719,-0.013192022441936018,69.87895317931066,71.14545593261718,75.57138595581054,71.32995588415535,0.021848653412997385,29.244292761271083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,49,2022-05-10,69.90786743164062,0.013743524469246232,69.69583651292346,70.9546127319336,75.22619247436523,71.07139434733449,0.02077976428284354,30.183772341894667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,50,2022-05-11,68.46211242675781,-0.020897706585160845,68.31751437053404,70.59509887695313,74.81072514851888,70.59697945268418,0.021401657607336127,29.15633611908288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
